time,q2,dq2,ddq2,q2_tau_J_compensate,CV,Dahl,Stribeck,LuGre,SVM,Light_Transformer,PINN,NNFM,,,
2.97688,-0.010045197,0.000393472,-0.000835234,3.847969003,4.052015939,-6.66E-01,4.105840447,-0.5861134,2.060308718,4.445638249,4.327886324,3.791625765,,,
2.9929,-0.010036101,0.000384409,-0.000926972,3.916802711,4.04674071,-6.62E-01,4.096328434,-0.584078,1.701658552,4.435362868,4.240542654,3.79140336,,,
3.00884,-0.010027161,0.000406959,0.000935376,3.898471949,4.059866809,-6.58E-01,4.119771693,-0.5754896,2.264591154,4.424151157,4.155250839,3.787494372,,,
3.02403,-0.010017976,0.000450152,0.003291275,3.749970648,4.085008556,-6.54E-01,4.162712754,-0.5623374,1.88774347,4.411644064,4.072357517,3.821257723,,,
3.03954,-0.010008219,0.000491104,0.00424349,3.513347462,4.108845694,-6.49E-01,4.201319911,-0.5492238,1.798207588,4.396718212,3.991372989,3.815247476,,,
3.05488,-0.009997809,0.000509173,0.00294035,3.294679429,4.119363588,-6.44E-01,4.217771783,-0.5405091,1.633943628,4.378180582,3.911331899,3.715051859,,,
3.07041,-0.009986952,0.000497783,0.000126753,3.195306381,4.112733487,-6.39E-01,4.207440701,-0.5378046,1.89513063,4.35558134,3.831482821,3.529806503,,,
3.08609,-0.009976078,0.000467512,-0.002532507,3.244885855,4.095113526,-6.34E-01,4.179312787,-0.5391819,2.102910205,4.32957966,3.751854006,3.32997802,,,
3.10138,-0.009965635,0.000439487,-0.003635878,3.383710656,4.07880042,-6.29E-01,4.152333868,-0.5403904,2.344384423,4.301609526,3.67332214,3.202877569,,,
3.11757,-0.009955803,0.000432737,-0.002839407,3.503179049,4.074871637,-6.25E-01,4.145691901,-0.5374085,2.151977108,4.273080403,3.597154282,3.196985543,,,
3.13365,-0.009946326,0.00045246,-0.000908788,3.514084264,4.086351632,-6.21E-01,4.164939767,-0.5289311,2.135389648,4.244635514,3.524333013,3.291673081,,,
3.14911,-0.00993664,0.000486929,0.000819056,3.398570945,4.10641545,-6.16E-01,4.197469716,-0.5171573,1.950762689,4.215914804,3.455085209,3.410077088,,,
3.16543,-0.009926221,0.000516175,0.00122515,3.212645404,4.123438993,-6.11E-01,4.224056764,-0.5061362,1.902075834,4.185929581,3.388877489,3.465720937,,,
3.18067,-0.009914915,0.000526436,1.87E-05,3.036393308,4.129411736,-6.05E-01,4.233180353,-0.498812,2.28634974,4.153752567,3.324825834,3.412688356,,,
3.19687,-0.009903013,0.000519138,-0.002173333,2.909532544,4.125163985,-6.00E-01,4.226702323,-0.4950749,2.866284278,4.119002263,3.262185853,3.265962242,,,
3.21168,-0.009891034,0.000507933,-0.004203188,2.807088412,4.118641804,-5.95E-01,4.216653532,-0.492232,2.511350995,4.08177273,3.200558023,3.078974129,,,
3.22692,-0.009879398,0.000507221,-0.005014842,2.675580331,4.118227313,-5.90E-01,4.216010663,-0.4872964,2.395879159,4.042151395,3.139713335,2.899041451,,,
3.24282,-0.009868244,0.000521124,-0.004247078,2.493434369,4.126319556,-5.85E-01,4.228469756,-0.4792969,2.169945313,3.999832473,3.079286673,2.738182821,,,
3.25838,-0.009857499,0.000540181,-0.00252428,2.30033525,4.137412517,-5.79E-01,4.245243759,-0.470075,2.554375205,3.954214381,3.018681267,2.580193667,,,
3.27393,-0.009847062,0.000547528,-0.001060404,2.174212555,4.141688909,-5.74E-01,4.25161953,-0.4631233,2.490756219,3.904914076,2.957312903,2.412561431,,,
3.28997,-0.009836873,0.000530665,-0.000702339,2.179626746,4.131873231,-5.69E-01,4.236910758,-0.4611855,1.903249831,3.852291067,2.895024941,2.253262612,,,
3.30544,-0.009826852,0.000491697,-0.00122591,2.326117205,4.109191052,-5.64E-01,4.201865542,-0.4640613,2.1477297,3.797600156,2.832376392,2.150286617,,,
