time,q2,dq2,ddq2,q2_tau_J_compensate,CV,Dahl,Stribeck,LuGre,SVM,Light_Transformer,PINN,NNFM
0.359,-0.785388,-0.000228423,0,0.00104174,-0.33435271,-0.001741403,-0.341756355,-0.000655242,0,0.025380345,-0.026911497,0.010485766
0.361,-0.785387,0.0010121,0,-0.0465176,0.334049405,-0.000720838,0.342505337,0.00192752,0,0.035209185,-0.026987748,-0.047860437
0.364,-0.78539,0.000475175,0,0.000971624,0.33425721,-0.000244019,0.34199691,0.000900758,0,0.034915091,-0.026633639,-0.043166549
0.366,-0.78539,0.000211189,0,0.000967321,0.33435938,-3.26E-05,0.341739391,0.000393809,0,0.034689391,-0.026321621,-0.025806891
0.368,-0.785389,0.000279466,0,-0.0227786,0.334332955,0.000246926,0.341806472,0.000558303,0,0.034495975,-0.026071393,-0.013914746
0.371,-0.785388,8.28E-05,0,-0.0227753,0.33440907,0.000329628,0.341612349,0.000173231,0,0.034255759,-0.025763156,-0.014320693
0.373,-0.785392,-0.000767482,0,0.0286916,-0.334144079,-0.000439067,-0.342276254,-0.001604084,0,0.023994459,-0.025291461,0.023771999
0.375,-0.785387,0.00101999,0,-0.0465277,0.334046351,0.000583071,0.342512655,0.00207307,0,0.033885414,-0.025460424,-0.027306004
0.377,-0.78539,-0.00047469,0,0.000998704,-0.334257397,0.000107053,-0.341996442,-0.000963988,0,0.023625583,-0.024802181,0.012423708
0.38,-0.78539,7.59E-05,0,0.000983064,0.33441174,0.000182914,0.341605488,0.000144821,0,0.033446202,-0.024671351,-0.038843969
0.382,-0.78539,-0.000151875,0,0.00098251,-0.334382336,3.09E-05,-0.341680846,-0.000325912,0,0.02327843,-0.024310129,0.013750249
0.384,-0.785387,0.000118104,0,-0.0227002,0.334395406,0.000148993,0.3416474,0.000225857,0,0.033142487,-0.02406495,-0.036832621
0.387,-0.78539,-0.000583686,0,0.00100745,-0.334215213,-0.00043511,-0.342101321,-0.001236067,0,0.022934126,-0.023580024,0.014551933
0.389,-0.785384,0.000668604,0,-0.0464338,0.334182347,0.000234889,0.342182444,0.00133548,0,0.032780524,-0.023604275,-0.032706811
0.391,-0.785386,0.000884903,0,-0.046495,0.334098633,0.001118795,0.342386751,0.001856435,0,0.032503507,-0.023409692,-0.019769785
0.394,-0.785387,0.000128146,0,0.00105971,0.33439152,0.001246255,0.341657354,0.000355709,0,0.032169851,-0.023007701,-0.021619363
0.396,-0.785384,0.00117058,0,-0.0464238,0.333988068,0.002409847,0.342651473,0.002557273,0,0.03193447,-0.02306446,-0.03613891
0.398,-0.785382,0.00144828,0,-0.0701631,0.333880591,0.003841427,0.342903223,0.003256826,0,0.031621872,-0.022967597,-0.040703344
0.401,-0.785391,-0.00170533,0,0.0525297,-0.333781105,0.002104571,-0.34313135,-0.003221935,0,0.021212364,-0.022031731,0.041225083
0.403,-0.785383,0.000603173,0,-0.0225989,0.334207671,0.002701668,0.342119982,0.00145678,0,0.03110403,-0.022449722,-0.056389627
0.406,-0.785387,0.000292143,0,0.00107373,0.334328048,0.002990036,0.341818891,0.000864041,0,0.030914088,-0.022175757,-0.041274848
0.408,-0.785391,-0.00107658,0,0.0525437,-0.334024449,0.001897976,-0.342565011,-0.001981794,0,0.0207482,-0.021591936,0.023955172
0.41,-0.785385,0.00345472,0,-0.0226664,0.333104042,0.005321307,0.344558828,0.007425155,0,0.030754084,-0.02249361,-0.033667346
0.413,-0.78539,0.000226429,0,0.0525541,0.334353481,0.005541987,0.341754393,0.000992645,0,0.030617372,-0.021330874,-0.017415579
0.415,-0.785389,3.23E-05,0,0.05261,0.334428615,0.005573433,0.341562057,0.000607908,0,0.030610621,-0.020890238,-0.013891764
0.418,-0.785389,-3.36E-05,0,0.0287852,-0.334428112,0.00553893,-0.341563354,0.000472742,0,0.020664155,-0.020399369,0.052326981
0.42,-0.785389,-0.00035832,0,0.0525998,-0.334302436,0.005171044,-0.341883531,-0.000213095,0,0.020709343,-0.019801354,0.031355089
0.422,-0.78539,-0.000143593,0,0.0525726,-0.334385541,0.005023873,-0.341672651,0.00020233,0,0.020811807,-0.019278133,0.028559845
0.424,-0.785389,0.000316198,0,0.0287775,0.334318738,0.005332489,0.341842423,0.001153236,0,0.030940474,-0.018758537,-0.01831125
0.427,-0.785389,0.000779507,0,0.028783,0.334139425,0.006092161,0.342287615,0.002156939,0,0.030994213,-0.01822265,0.009315577
0.429,-0.785387,0.000781614,0,0.00106431,0.334138609,0.00685107,0.342289605,0.002238996,0,0.031013207,-0.017548108,0.019416731
0.431,-0.78539,-0.000857866,0,0.0525505,-0.334109097,0.005964841,-0.342361396,-0.00112622,0,0.020946122,-0.016463894,0.067175898
0.434,-0.785387,0.000179597,0,0.028859,0.334371607,0.006139329,0.34170824,0.000968006,0,0.030994523,-0.016049699,0.008747146
0.436,-0.785386,0.000265704,0,0.0288786,0.334338281,0.006397255,0.341792978,0.001166579,0,0.03101133,-0.015372132,0.026665195
